,product_name,price,detail,year_purchase
103,PULSERA TWISTED,"6,71 EUR",['Como nuevo'], 2023
104,VESTIDO LARGO LIMITED EDITION,"49,95 EUR",['Nuevo con etiquetas'], 
105,SANDALIA PLANA ABALORIOS,"20,00 EUR",['Nuevo con etiquetas'], 
106,VESTIDO CORTO BORDADOS,"39,00 EUR",['Nuevo con etiquetas'], 
107,ACCESSORIES 07,"10,00 EUR",['Nuevo con etiquetas'], 
108,CHALECO ABALORIOS CON LINO,"25,00 EUR",['Como nuevo'], 2023
109,SANDALIA FLATFORM PULSERA,"45,00 EUR",['Nuevo con etiquetas'], 2024
110,VESTIDO MIDI MONEDAS,"25,00 EUR",['Nuevo con etiquetas'], 
111,BOLSO SACA PESPUNTES,"22,00 EUR",['Bueno'], 2023
112,TOP PUNTO POINTELLE VOLANTES,"15,00 EUR",['Como nuevo'], 2023
113,JEANS ZW COLLECTION BARREL CROPPED TIRO MEDIO,"17,00 EUR",['Bueno'], 
114,JEANS ZW COLLECTION WIDE LEG TIRO ALTO,"16,00 EUR",['Como nuevo'], 2024
115,SANDALIA PLANA ADORNO METÁLICO,"35,99 EUR",['Nuevo con etiquetas'], 
116,CAZADORA BIKER,"15,00 EUR",['Satisfactorio'], 2018
117,PENDIENTES FLOR,"12,00 EUR",['Nuevo con etiquetas'], 2023
118,CAMISA OVERSIZE BORDADOS PERFORADOS,"15,00 EUR",['Como nuevo'], 
119,PANTALÓN SLOUCHY CORDÓN,"30,00 EUR",['Nuevo con etiquetas'], 
120,TOP AJUSTADO PUNTO CORCHETES,"15,00 EUR",['Como nuevo'], 2023
121,PANTALÓN LINO CINTURA ASIMÉTRICA,"35,00 EUR",['Nuevo con etiquetas'], 2023
122,BOLSO MAXI SACA CROCHET,"19,9 EUR",['Como nuevo'], 
123,VESTIDO CORTO TEXTURA ZW COLLECTION,"17,00 EUR",['Como nuevo'], 2023
124,FALDA HEBILLAS,"10,00 EUR",['Como nuevo'], 
125,VESTIDO MIDI LINO,"29,00 EUR",['Nuevo con etiquetas'], 2024
126,MAXI BOLSA ESTAMPADA,"20,00 EUR",['Nuevo con etiquetas'], 
127,TOP PALABRA DE HONOR CON LINO,"29,00 EUR",['Nuevo con etiquetas'], 2023
128,VESTIDO MIDI CON LINO,"24,95 EUR",['Nuevo con etiquetas'], 2023
129,VESTIDO TUL BORDADOS FLORES,"10,00 EUR",['Como nuevo'], 
130,SANDALIA PLANA LAZO,"20,00 EUR",['Nuevo con etiquetas'], 2023
131,BLAZER RÚSTICA BOLSILLOS,"14,00 EUR",['Como nuevo'], 
132,VESTIDO ENTALLADO COMBINADO TUL,"25,00 EUR",['Nuevo con etiquetas'], 
133,SANDALIA TIRAS PIEL,"50,00 EUR",['Nuevo con etiquetas'], 
134,VESTIDO LENCERO TIRANTES,"15,00 EUR",['Como nuevo'], 2021
135,BOLSO SHOPPER TRENZADO CUADROS,"45,00 EUR",['Nuevo con etiquetas'], 
136,VESTIDO ENAGUA SATINADO,"12,00 EUR",['Bueno'], 
137,PENDIENTES CASCADA RESINA,"12,00 EUR",['Como nuevo'], 
138,VESTIDO ASIMÉTRICO,"10,00 EUR",['Como nuevo'], 
139,BRAZALETE ANCHO TEXTURA,"20,00 EUR",['Nuevo con etiquetas'], 
140,PANTALÓN RECTO CLÁSICO ZW COLLECTION,"27,00 EUR",['Nuevo con etiquetas'], 2024
141,TOP NUDO TIRANTES,"10,00 EUR",['Como nuevo'], 
142,CUERPO CROPPED SATINADO,"10,00 EUR",['Nuevo con etiquetas'], 
143,CINTURÓN PIEL COLOR,"16,00 EUR",['Como nuevo'], 2023
144,TOP EFECTO PIEL DRAPEADO,"10,00 EUR",['Como nuevo'], 2022
145,TOP SATINADO BORDADOS FLECOS,"29,95 EUR",['Como nuevo'], 2023
146,PANTALÓN FLARE SATINADO,"5,00 EUR",['Como nuevo'], 2022
147,PENDIENTES ARO ALARGADO,"6,00 EUR",['Nuevo con etiquetas'], 2024
148,BLAZER ENTALLADA LINO,"20,00 EUR",['Como nuevo'], 
149,SANDALIA PLANA SERRAJE TACHAS,"10,00 EUR",['Como nuevo'], 
150,CROP TOP BAJO BORDADO,"7,00 EUR",['Nuevo con etiquetas'], 2017
151,VESTIDO MIDI SATINADO,"39,95 EUR",['Nuevo con etiquetas'], 
152,BOLSO BANDOLERA DOBLE ASA,"15,00 EUR",['Como nuevo'], 
153,TOP CROP CANALÉ,"8,00 EUR",['Nuevo con etiquetas'], 
154,FALDA MIDI SATINADA,"15,00 EUR",['Como nuevo'], 
155,VESTIDO EFECTO ARRUGADO,"15,00 EUR",['Como nuevo'], 
156,VESTIDO LENCERO SEDA,"90,00 EUR",['Nuevo con etiquetas'], 2023
157,SANDALIA TACÓN ANCHO,"20,00 EUR",['Bueno'], 
158,FALDA ESTAMPADA LIMITED EDITION,"20,00 EUR",['Nuevo con etiquetas'], 2020
159,BOLSO CITY DETALLE METÁLICO,"15,00 EUR",['Como nuevo'], 2021
160,CUERPO SATINADO TIRANTES,"8,00 EUR",['Bueno'], 
161,VESTIDO LENCERO BOTONES,"25,95 EUR",['Nuevo con etiquetas'], 
162,ZAPATO TACÓN ACHAROLADO,"19,9 EUR",['Como nuevo'], 2023
163,BERMUDA DENIM RETRO,"10,00 EUR",['Nuevo con etiquetas'], 2023
164,VESTIDO FRUNCE,"15,00 EUR",['Nuevo con etiquetas'], 2022
165,PALA LAZO SERRAJE,"15,00 EUR",['Nuevo con etiquetas'], 
166,FALDA ASIMÉTRICA TABLAS LIMITED EDITION,"30,00 EUR",['Como nuevo'], 
