,index,product_name,price,made_in,standard_soc_ma,algodon,poliester,elastano,elastomultiester,liocel,lino,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,rec_poliester,rec_cotton,cotton_OCS,certificacion,porcentaje,intertek
231,181,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
233,183,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
234,184,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
235,185,Jean Rectos,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.6,OCS,0.6,True
236,186,Jean Rectos,35.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.15,0.85,OCS,0.85,True
237,187,Jean Wide Leg,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.5,OCS,0.5,True
238,188,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,1.0,OCS,1.0,True
239,189,Jean Wide Leg,29.95,Pakistan,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
240,190,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.22,0.78,OCS,0.78,True
241,191,Jean Temporada,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
242,192,Jean Rectos,29.95,Bangladesh,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,OCS,RCS,,,0.2,0.51,OCS,0.51,True
243,193,Jean Temporada,35.95,Bangladesh,True,0.6,,,,0.4,,algodon,2,0.6,liocel,0.4,None,None,,,,,,,False
244,194,Jean Temporada,39.95,Bangladesh,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,OCS,None,,,,0.64,OCS,0.64,True
245,195,Jean Temporada,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
246,196,Jean Temporada,25.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.5,OCS,0.5,True
247,197,Jean ZW Collection,29.95,Pakistan,True,0.94,,0.02,0.04,,,algodon,3,0.94,elastomultiester,0.04,OCS,RCS,,,0.19,0.75,OCS,0.75,True
248,198,Jean ZW Collection,29.95,Pakistan,True,0.94,,0.02,0.04,,,algodon,3,0.94,elastomultiester,0.04,OCS,RCS,,,0.19,0.75,OCS,0.75,True
249,0,Jean ZW Collection,29.95,Pakistan,True,0.94,,0.02,0.04,,,algodon,3,0.94,elastomultiester,0.04,OCS,None,,,,0.51,OCS,0.51,True
250,1,Jean Rectos,29.95,Turquia,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,RCS,,,0.2,,OCS,,True
