,index,product_name,normal_price,special_price,made_in,standard_soc_ma,algodon,poliester,elastano,viscosa,lana,poliuretano,piel,acrilico,lino,otras,fibra,liocel,poliamida,elastodieno,nailon,alpaca,elastomultiester,estireno,main_txt,total_composition,1_composition,second_txt,2_composition,tercer_elemento,num_tercer_elemento,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,certificacion_2,intertek
282,92,Chaqueta,"35,95                                          ","19,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
286,93,Jeans,"35,95                                          ","19,99                                          ",Bangladesh,True,0.72,,,,,,,,,,,0.28,,,,,,,algodon,2,0.72,liocel,0.28,,,OCS,RCS,,0.6,,0.12,,,,OCS,,RCS,True
298,95,Falda,"25,95                                          ","15,99                                          ",Turquia,True,0.97,,0.03,,,,,,,,,,,,,,,,algodon,2,0.97,elastano,0.03,,,OCS,,,0.97,,,,,,OCS,,,True
299,96,Other,"39,95                                          ","22,99                                          ",Vietnam,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
300,97,Camisa,"22,95                                          ","12,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
304,100,Camisa,"29,95                                          ","29,95                                          ",Marruecos,True,,,,1.0,,,,,,,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,,,,,,False
305,101,Jersey,"29,95                                          ","15,99                                          ",China,True,0.69,0.31,,,,,,,,,,,,,,,,,algodon,2,0.69,poliester,0.31,,,,,,,,,,,,,,,False
306,102,Jeans,"29,95                                          ","17,99                                          ",Turquia,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,RCS,,0.6,,0.2,,,,OCS,,RCS,True
307,103,Chaqueta,"27,95                                          ","15,99                                          ",Turquia,True,0.46,0.54,,,,,,,,,,,,,,,,,poliester,2,0.54,algodon,0.46,,,,RCS,,,0.54,0.46,,,,,,RCS,True
308,104,Jersey,"19,95                                          ","12,99                                          ",China,True,,0.37,,,0.05,,,0.38,,,,,,,20,,,,acrilico,4,0.38,poliester,0.37,nailon,20.0,,,,,,,,,,,,,False
317,105,Other,"29,95                                          ","17,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
318,107,Pantalon,"39,95                                          ","19,99                                          ",Marruecos,True,,0.63,0.03,0.34,,,,,,,,,,,,,,,poliester,3,0.63,viscosa,0.34,elastano,3.0,,RCS,,,0.63,,,,,,,,True
319,108,Falda,"29,95                                          ","15,99                                          ",Marruecos,True,,0.68,0.03,0.29,,,,,,,,,,,,,,,poliester,3,0.68,viscosa,0.29,elastano,3.0,,RCS,,,0.65,,,,,,,,True
320,109,Chaqueta,"29,95                                          ","15,99                                          ",China,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,RCS,,,,0.5,,,,,,RCS,True
321,110,Jersey,"29,95                                          ","15,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
322,111,Other,"17,95                                          ","9,99                                           ",Camboya,True,,,0.02,0.83,,,,,,,,,0.15,,,,,,viscosa,3,0.83,poliamida,0.15,elastano,2.0,,,,,,,,,,,,,False
326,112,Jersey,"22,95                                          ","12,99                                          ",China,True,,,0.02,0.83,,,,,,,,,0.15,,,,,,viscosa,3,0.83,poliamida,0.15,elastano,2.0,,,,,,,,,,,,,False
335,113,Jersey,"22,95                                          ","12,99                                          ",Camboya,True,,,0.02,0.83,,,,,,,,,0.15,,,,,,viscosa,3,0.83,poliamida,0.15,elastano,2.0,,,,,,,,,,,,,False
336,116,Other,"39,95                                          ","19,99                                          ",Marruecos,True,,,,1.0,,,,,,,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,,,,,,False
337,119,Camisa,"29,95                                          ","17,99                                          ",Camboya,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
341,120,Chaqueta,"27,95                                          ","17,99                                          ",China,True,,0.32,,,,,,0.41,,,,,0.27,,,,,,acrilico,3,0.41,poliester,0.32,poliamida,27.0,,RCS,,,,,0.25,,,RCS,,RCS,True
342,122,Jersey,"25,95                                          ","12,99                                          ",Turquia,True,0.75,0.24,0.01,,,,,,,,,,,,,,,,algodon,3,0.75,poliester,0.24,elastano,1.0,,,,,,,,,,,,,False
343,123,Jersey,"25,95                                          ","15,99                                          ",Turquia,True,,0.32,0.01,,,,,0.67,,,,,,,,,,,acrilico,3,0.67,poliester,0.32,elastano,1.0,,RCS,,,,,,0.25,,,,RCS,True
345,124,Jersey,"29,95                                          ","17,99                                          ",Turquia,True,0.57,0.43,,,,,,,,,,,,,,,,,algodon,2,0.57,poliester,0.43,,,,RCS,,,,0.57,,,,,,RCS,True
346,125,Jersey,"29,95                                          ","17,99                                          ",China,True,,,,,0.1,,,0.59,,,,,0.31,,,,,,acrilico,3,0.59,poliamida,0.31,lana,10.0,,,,,,,,,,,,,False
347,128,Jersey,"22,95                                          ","12,99                                          ",China,True,,,0.02,0.83,,,,,,,,,0.15,,,,,,viscosa,3,0.83,poliamida,0.15,elastano,2.0,,,,,,,,,,,,,False
356,129,Other,"69,95                                          ","39,99                                          ",China,True,,0.86,0.14,,,,,,,,,,,,,,,,poliester,2,0.86,elastano,0.14,,,,,,,,,,,,,,,False
357,133,Jersey,"29,95                                          ","17,99                                          ",Turquia,True,0.39,0.61,,,,,,,,,,,,,,,,,poliester,2,0.61,algodon,0.39,,,,RCS,,,,0.39,,,,,,RCS,True
358,134,Falda,"29,95                                          ","15,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
359,136,Chaqueta,"35,95                                          ","17,99                                          ",China,True,,0.13,0.01,,0.04,,,0.66,,,,,0.08,,,8,,,acrilico,6,0.66,poliester,0.13,poliamida,8.0,,RCS,,,0.13,,,0.66,,,,RCS,True
360,137,Falda,"29,95                                          ","15,99                                          ",Marruecos,True,0.37,0.3,,,,,,0.31,,0.01,0.01,,,,,,,,algodon,5,0.37,acrilico,0.31,poliester,30.0,,RCS,,,0.3,0.37,,,,,,RCS,True
361,138,Vestido,"29,95                                          ","17,99                                          ",Turquia,True,,0.88,0.12,,,,,,,,,,,,,,,,poliester,2,0.88,elastano,0.12,,,,RCS,,,0.88,,,,,,,,True
362,139,Falda,"29,95                                          ","15,99                                          ",Marruecos,True,,,,1.0,,,,,,,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,,,,,,False
363,141,Jeans,"29,95                                          ","17,99                                          ",Pakistan,True,0.98,,0.02,,,,,,,,,,,,,,,,algodon,2,0.98,elastano,0.02,,,OCS,,,0.5,,,,,,OCS,,,True
367,142,Vestido,"29,95                                          ","17,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
368,144,Calzado,"49,95                                          ","29,99                                          ",India,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
369,145,Jeans,"29,95                                          ","17,99                                          ",Egipto,True,0.92,,0.02,,,,,,,,,,,,,,6,,algodon,3,0.92,elastomultiester,0.06,elastano,2.0,,,,,,,,,,,,,False
373,146,Jeans,"29,95                                          ","17,99                                          ",Tunez,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,RCS,,,,0.2,,,,,,RCS,True
389,147,Blazer,"69,95                                          ","39,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
390,148,Blazer,"69,95                                          ","39,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.73,,,,,,,,True
